chart_appearances,track_id,title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
6,6jjthaSazWJUHKzNkkEDkQ,Might Not Like Me, Brynn Elliott,0.88,0.675,4,-5.035,1,0.0359,0.284,0.0,0.103,0.561,114.022,audio_features,6jjthaSazWJUHKzNkkEDkQ,spotify:track:6jjthaSazWJUHKzNkkEDkQ,https://api.spotify.com/v1/tracks/6jjthaSazWJUHKzNkkEDkQ,https://api.spotify.com/v1/audio-analysis/6jjthaSazWJUHKzNkkEDkQ,196320,4
29,1EHihjctuwcNp5Z1mAF9m2,Amalina, Santesh,0.656,0.787,5,-5.091,0,0.0313,0.0686,0.0,0.572,0.266,123.043,audio_features,1EHihjctuwcNp5Z1mAF9m2,spotify:track:1EHihjctuwcNp5Z1mAF9m2,https://api.spotify.com/v1/tracks/1EHihjctuwcNp5Z1mAF9m2,https://api.spotify.com/v1/audio-analysis/1EHihjctuwcNp5Z1mAF9m2,228189,4
3,1NEV2pt7AJSHWadhfCZ48t,I Don't Wanna Love You Anymore, LANY,0.704,0.622,0,-8.29,1,0.0404,0.338,0.0,0.0915,0.5,104.984,audio_features,1NEV2pt7AJSHWadhfCZ48t,spotify:track:1NEV2pt7AJSHWadhfCZ48t,https://api.spotify.com/v1/tracks/1NEV2pt7AJSHWadhfCZ48t,https://api.spotify.com/v1/audio-analysis/1NEV2pt7AJSHWadhfCZ48t,201178,4
3,0eY4bbVAkCKe95Rd37y5r6,Sunflower - Synth Reprise, Allie X,0.669,0.538,0,-9.697,1,0.0349,0.49,0.00381,0.115,0.0827,117.965,audio_features,0eY4bbVAkCKe95Rd37y5r6,spotify:track:0eY4bbVAkCKe95Rd37y5r6,https://api.spotify.com/v1/tracks/0eY4bbVAkCKe95Rd37y5r6,https://api.spotify.com/v1/audio-analysis/0eY4bbVAkCKe95Rd37y5r6,216170,4
20,1Ozmz8mMsPv6LlwcCW2U8l,T-Shirts, James Smith,0.442,0.246,6,-12.825,1,0.034,0.758,0.0,0.261,0.362,77.593,audio_features,1Ozmz8mMsPv6LlwcCW2U8l,spotify:track:1Ozmz8mMsPv6LlwcCW2U8l,https://api.spotify.com/v1/tracks/1Ozmz8mMsPv6LlwcCW2U8l,https://api.spotify.com/v1/audio-analysis/1Ozmz8mMsPv6LlwcCW2U8l,190263,4
4,0B2Ujrs9t4c1XvNzrECwLt,Thursday, Axel Brizzy,0.634,0.378,5,-12.401,1,0.112,0.225,0.0,0.252,0.318,149.966,audio_features,0B2Ujrs9t4c1XvNzrECwLt,spotify:track:0B2Ujrs9t4c1XvNzrECwLt,https://api.spotify.com/v1/tracks/0B2Ujrs9t4c1XvNzrECwLt,https://api.spotify.com/v1/audio-analysis/0B2Ujrs9t4c1XvNzrECwLt,229200,4
32,4fRsqJUABT7uXXq92h1yFL,一个人去巴黎, 董又霖,0.741,0.513,11,-7.505,1,0.0358,0.14,9.97e-06,0.108,0.389,127.991,audio_features,4fRsqJUABT7uXXq92h1yFL,spotify:track:4fRsqJUABT7uXXq92h1yFL,https://api.spotify.com/v1/tracks/4fRsqJUABT7uXXq92h1yFL,https://api.spotify.com/v1/audio-analysis/4fRsqJUABT7uXXq92h1yFL,252391,4
4,023MPCzuJ5gbY89ALMHBbl,April Fools (0401), Jimin Park,0.689,0.732,6,-2.93,0,0.0487,0.525,0.0,0.1,0.546,96.977,audio_features,023MPCzuJ5gbY89ALMHBbl,spotify:track:023MPCzuJ5gbY89ALMHBbl,https://api.spotify.com/v1/tracks/023MPCzuJ5gbY89ALMHBbl,https://api.spotify.com/v1/audio-analysis/023MPCzuJ5gbY89ALMHBbl,198313,4
3,3Qj39daVgJxbJ6NYRFehMg,Fuh You, Paul McCartney,0.59,0.781,0,-5.42,1,0.0299,0.0071,0.0,0.191,0.656,88.022,audio_features,3Qj39daVgJxbJ6NYRFehMg,spotify:track:3Qj39daVgJxbJ6NYRFehMg,https://api.spotify.com/v1/tracks/3Qj39daVgJxbJ6NYRFehMg,https://api.spotify.com/v1/audio-analysis/3Qj39daVgJxbJ6NYRFehMg,203719,4
3,49cwPSsc6btfr0uPrxtDWZ,Summer Waltz, Clarence Öfwerman,0.59,0.0913,4,-19.751,0,0.0638,0.995,0.962,0.128,0.429,78.09,audio_features,49cwPSsc6btfr0uPrxtDWZ,spotify:track:49cwPSsc6btfr0uPrxtDWZ,https://api.spotify.com/v1/tracks/49cwPSsc6btfr0uPrxtDWZ,https://api.spotify.com/v1/audio-analysis/49cwPSsc6btfr0uPrxtDWZ,222061,4
